% Model,cyl_test.mph
% Version,COMSOL 6.1.0.252
% Date,"May 11 2023, 17:25"
% Dimension,3
% Nodes,9072
% Expressions,18
% Description,"Displacement field, X-component, Displacement field, Y-component, Displacement field, Z-component"
% Length unit,nm
% X,Y,Z,u (nm) @ lambda=1,v (nm) @ lambda=1,w (nm) @ lambda=1,u (nm) @ lambda=2,v (nm) @ lambda=2,w (nm) @ lambda=2,u (nm) @ lambda=3,v (nm) @ lambda=3,w (nm) @ lambda=3,u (nm) @ lambda=4,v (nm) @ lambda=4,w (nm) @ lambda=4,u (nm) @ lambda=5,v (nm) @ lambda=5,w (nm) @ lambda=5,u (nm) @ lambda=6,v (nm) @ lambda=6,w (nm) @ lambda=6
-8.311766015409734,-5.560072792326597,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.729323821546742,-6.344884022712318,498.2985901881011,2.6125742099171955E15,1.7998863883885618E15,-4.870834455248633E15,4.758509056166872E14,1.3158871464862868E15,-1.8467057212053208E15,7.202037207540747E15,5.308787173364463E15,-1.3342291877105766E16,1.8234965484401012E15,3.1361157812196215E15,-5.060544357983477E15,1.4008857575509446E16,1.096683208211872E16,-2.5795299510619772E16,4.4901986661650065E15,5.193349914079268E15,-9.786130782063432E15
-7.069718229010827,-7.072417136604439,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.908325211671716,-1.3509594737632258,498.688850447759,1.7651464929392115E15,-3.449539514363606E14,-2.5242815904669445E15,2.1217514836637585E15,7.113387873329699E14,-3.269947153291561E15,4.898904553006735E15,-4.776543503409445E14,-6.924369294382173E15,6.022663347859954E15,1.6233339016763195E15,-8.970986954680848E15,9.590245623281438E15,-5.584390956512697E13,-1.3406054944699266E16,1.2034692010680124E16,2.5349822283635545E15,-1.7368895751344854E16
-9.999999999999998,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.999999999999998,0,498.00823719777003,1.9183737983566482E15,-6.23294167370381E14,-2.985597946543104E15,3.3354479013676875E15,3.8316473908042725E14,-5.193523881470601E15,5.431837183047659E15,-9.611199761934091E14,-8.159057750782177E15,9.44788806541189E15,6.210858816940699E14,-1.4194656368340842E16,1.0831087920585746E16,-4.7280908826188206E14,-1.5739801424331936E16,1.8843721906402208E16,4.056405733928042E14,-2.738334638486672E16
-9.805638070986507,-1.9611640319687598,499.99999999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.556899783987374,-8.31388753311265,500.0000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.827043720199475,-8.757833574765097,498.34216964906335,1.5971610221644942E15,2.9405417746471795E15,-5.128708040581705E15,-6.898966105823886E14,3.2200759222536794E14,8.503092279660423E13,4.522570231559859E15,8.299015149943083E15,-1.4052361054887154E16,-1.2601407973141482E15,5.297676804944368E14,2.3145816972183197E14,9.017464941272686E15,1.6498464392724494E16,-2.717445053553064E16,-1.267845639159963E15,3.6957924640281425E14,4.4604113057543756E14
-3.831251663126881,-9.236947791153238,499.99999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.561690929998795,-2.9281507063637986,498.45548277092684,2.375004117372648E15,1.8537376294265853E14,-3.5012285155978635E15,1.9138906487960002E15,1.146909906111169E15,-3.271314180020522E15,6.550840804357741E15,1.002447906360036E15,-9.594231296927008E15,5.556224506295151E15,2.72359554625737E15,-8.964832933740823E15,1.2749445235683698E16,2.8567355585337395E15,-1.8556188892794492E16,1.132384515082395E16,4.4896733732640805E15,-1.7338355267011474E16
-9.23548530396115,-3.83477590190371,499.99999999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.819300232434928,-4.713803497195574,498.296115513859,2.758967313441798E15,1.0323793226095379E15,-4.417062736980152E15,1.2948536938189322E15,1.4155191295045972E15,-2.7526536809797835E15,7.592197480347975E15,3.2903832326644895E15,-1.2090209132437774E16,3.9812117544986275E15,3.3976388374611725E15,-7.535023778531875E15,1.4743277321878434E16,7.220432400634327E15,-2.3357966447644704E16,8.502683350616611E15,5.678031680005484E15,-1.4556973482747526E16
-9.230590902986693,-3.8465818048885083,496.83114905575025,4.0204236361536255E15,1.4930847697798158E15,-7.200263832970073E15,2.9512228270853135E15,1.4691336888918368E15,-5.533349486504073E15,1.1157579646842998E16,5.030799655933989E15,-1.9538165468655076E16,8.842944857249685E15,3.1966791786050205E15,-1.5018861157396446E16,2.1841031877925776E16,1.1473337326365902E16,-3.7431165458260216E16,1.8504274121986652E16,4.643977277377013E15,-2.8777502122782076E16
-3.0105130559690583,-9.536079442823441,498.1181933919286,9.335554102965771E14,3.4676618465947725E15,-5.614651419195531E15,-9.307204729009399E14,-5.221687696699145E14,1.2245947944647292E15,2.8220640360767765E15,9.759961417511122E15,-1.5360798207745522E16,-1.810946847450754E15,-1.7379387959270415E15,3.3491173974845845E15,5.947369685748057E15,1.9354433081838332E16,-2.966164889419862E16,-2.1304999443666862E15,-3.9318892653726685E15,6.46639983616932E15
-1.9593100244503956,-9.806165222391538,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.281743880262362,-9.917516454506643,498.61586984283514,7.737040011187106E13,2.7613470516243575E15,-4.029500665364221E15,-8.141031920652512E14,-1.0387726361995454E15,1.6655548623784808E15,4.679318575014928E14,7.739549185267966E15,-1.1052393226206716E16,-1.6870234598630238E15,-3.0009795440577325E15,4.5669219805654E15,1.379618877914923E15,1.5289040247843812E16,-2.1394616710384076E16,-2.2536102120588325E15,-6.091366335405705E15,8.838822270400658E15
0,-9.999999999999998,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-9.999999999999998,498.00823719777003,-3.6389541416263494E14,3.300495645909008E15,-5.173837824064777E15,-6.426928829941759E14,-1.8886509839164982E15,2.9651803001020835E15,-5.684341909615194E14,9.352711905580474E15,-1.4144642044367014E16,-1.0131826205835071E15,-5.351459245299804E15,8.104652190661307E15,-3.040942737739025E14,1.8660736166871596E16,-2.7293868512583936E16,-5.714755649401966E14,-1.0677530918299736E16,1.563732620831723E16
-8.284756374667328,-5.600251049052094,496.7440671778983,4.1745484188700835E15,2.698982116880004E15,-8.361010163135693E15,1.908354427355824E15,1.5260888853539718E15,-4.0995453870844585E15,1.1579222307747822E16,8.215950033607008E15,-2.267751015623414E16,6.151088324611439E15,3.324280278307978E15,-1.1122533943832126E16,2.2654922448830756E16,1.7412248556179378E16,-4.3425414523664312E16,1.3605746374909506E16,4.837636444981491E15,-2.1302323027320708E16
-8.771916722239231,-4.801403650819173,495.0565566581512,5.651981913675817E15,3.960495553321665E15,-1.1726440088160458E16,4.272980070341472E15,9.313436619689689E14,-7.176988991056151E15,1.57309621353083E16,1.2155888665362948E16,-3.151365613646944E16,1.2966244911873742E16,1.3305398234761652E15,-1.9291089414115104E16,3.0876503599855384E16,2.5927922948013512E16,-5.979834164080172E16,2.740820215363222E16,3.0649820160340394E14,-3.660825184901324E16
-6.341926260378987,-7.73175085655994,498.2978647941698,2.2697386646821485E15,2.5645238017927095E15,-5.184639468579288E15,-2.1357260172728178E14,9.168899501150881E14,-8.690681056471079E14,6.307584492638047E15,7.327517756220957E15,-1.419824027580759E16,1.0801911898674455E13,2.0873670084917732E15,-2.3812171677392045E15,1.2362251985546386E16,1.472897135908967E16,-2.7443113275395668E16,1.1263906389470662E15,3.2475809326865545E15,-4.603548243335267E15
