% Model,cyl_test.mph
% Version,COMSOL 6.1.0.252
% Date,"May 11 2023, 15:33"
% Dimension,3
% Nodes,9072
% Expressions,18
% Description,"Displacement field, X-component, Displacement field, Y-component, Displacement field, Z-component"
% Length unit,nm
% X,Y,Z,u (nm) @ lambda=1,v (nm) @ lambda=1,w (nm) @ lambda=1,u (nm) @ lambda=2,v (nm) @ lambda=2,w (nm) @ lambda=2,u (nm) @ lambda=3,v (nm) @ lambda=3,w (nm) @ lambda=3,u (nm) @ lambda=4,v (nm) @ lambda=4,w (nm) @ lambda=4,u (nm) @ lambda=5,v (nm) @ lambda=5,w (nm) @ lambda=5,u (nm) @ lambda=6,v (nm) @ lambda=6,w (nm) @ lambda=6
-8.311766015409734,-5.560072792326597,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.729323821546742,-6.344884022712318,498.2985901881011,2741163.720100259,1888475.768358216,-5110574.264324711,499272.19520053273,1380654.4798352253,-1937599.853084515,7546645.989795721,5562806.228609937,-1.3980704430074016E7,1910773.120422019,3286217.21091325,-5302753.189299614,1.468193552396545E7,1.149375105395601E7,-2.703467589610034E7,4705944.908354378,5442881.349781808,-1.0256337356652781E7
-7.069718229010827,-7.072417136604439,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.908325211671716,-1.3509594737632258,498.688850447759,1852025.937239706,-361932.45496340794,-2648525.1893724743,2226182.993502967,746350.4490601985,-3430892.246051465,5133311.220883075,-500509.533552979,-7255692.004718292,6310921.322900668,1701030.249592711,-9400358.212054437,1.0051024296251481E7,-58527.020371650324,-1.405017027270301E7,1.26129380359528E7,2656783.7158692637,-1.8203440991121434E7
-9.999999999999998,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.999999999999998,0,498.00823719777003,2012794.9264261888,-653972.408665045,-3132547.1625825223,3499616.861076659,402023.84363907325,-5449146.345895492,5691744.034716095,-1007108.405996414,-8549458.814203361,9900084.864289535,650812.424772582,-1.4874043986663237E7,1.1351484842262534E7,-495525.9566632633,-1.6496045327907888E7,1.974912997714242E7,425130.89732937614,-2.8699068562465254E7
-9.805638070986507,-1.9611640319687598,499.99999999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.556899783987374,-8.31388753311265,500.0000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.827043720199475,-8.757833574765097,498.34216964906335,1675772.5047037506,3085273.6884315717,-5381140.387817107,-723852.8135451166,337856.82528554345,89215.73888166227,4738969.754298492,8696113.001367569,-1.4724749558636175E7,-1320453.922008971,555123.5296173751,242536.2738363296,9450723.455859125,1.7291159480916318E7,-2.8480090439792152E7,-1328763.4139401985,387336.89248526184,467472.62127850065
-3.831251663126881,-9.236947791153238,499.99999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.561690929998795,-2.9281507063637986,498.45548277092684,2491900.451110657,194497.68327209356,-3673556.9337626756,2008091.4104173838,1203360.16455076,-3432326.6250528065,6864290.626474573,1050413.8288039903,-1.0053303679383768E7,5822157.687101949,2853952.847342785,-9393909.645192014,1.336201270308131E7,2993991.982218997,-1.9447750636893973E7,1.1867936221855992E7,4705394.371973121,-1.8171433091507908E7
