% Model,defect_cell_only_meters.mph
% Version,COMSOL 6.1.0.252
% Date,"May 17 2023, 06:32"
% Dimension,3
% Nodes,2823
% Expressions,30
% Description,"Displacement field, X-component, Displacement field, Y-component, Displacement field, Z-component"
% Length unit,m
% x,y,z,u (m) @ lambda=1,v (m) @ lambda=1,w (m) @ lambda=1,u (m) @ lambda=2,v (m) @ lambda=2,w (m) @ lambda=2,u (m) @ lambda=3,v (m) @ lambda=3,w (m) @ lambda=3,u (m) @ lambda=4,v (m) @ lambda=4,w (m) @ lambda=4,u (m) @ lambda=5,v (m) @ lambda=5,w (m) @ lambda=5,u (m) @ lambda=6,v (m) @ lambda=6,w (m) @ lambda=6,u (m) @ lambda=7,v (m) @ lambda=7,w (m) @ lambda=7,u (m) @ lambda=8,v (m) @ lambda=8,w (m) @ lambda=8,u (m) @ lambda=9,v (m) @ lambda=9,w (m) @ lambda=9,u (m) @ lambda=10,v (m) @ lambda=10,w (m) @ lambda=10
0.075,0.20000000000000004,-0.6,2.797536128685069,0.006158391626051343,-0.35718266883614613,1.8875035693740774,0.06692112696151185,-0.12480897749866392,0.0019720563224367087,0.06238029670241234,1.6367447681638185,2.9439914622776767E-4,2.3345899217346164,-1.8737070879301911,-3.6508934820104306,0.46394290305064556,0.19344051654018976,4.2895025465051715,-0.496617387955125,-0.37436442053747404,-0.0041738874883101166,2.0831556013674093,-0.2750687275504911,-3.026741596386656,0.10767382611531386,0.7483416451023678,3.3615035255685415,-1.023896224803919,0.05951687544946415,-3.95979150198449,1.1442115149058247,0.05629516558194969
0.050369207041254645,0.2,-0.5523567757993043,2.5695995948349126,0.009038138457742305,-0.4746964412192095,1.8033044275994123,0.09261722736760182,-0.16663129394153112,9.59703798164197E-4,0.0593564150082372,1.6357936194044382,0.001762606515401969,2.14392347082793,-1.8720467695782095,-3.5192716912101853,0.6126717191715976,0.25725983866441954,4.045066622076155,-0.6600220907414532,-0.4960589638249583,-0.0035207799338597195,2.0325029347654033,-0.2744167465810006,-2.532004494387404,0.13510970443008355,0.9948476475205956,3.4187577898552552,-1.390315260896404,0.08825030326489797,-3.9416074782705186,1.5545327961643254,0.06271929759868244
0.049254043283460065,0.25920040748645523,-0.6,2.8039019764472526,0.008753123079207557,-0.48059809756139615,1.9456774470782814,0.09113639940670473,-0.1718278821422232,0.001563609919241683,0.06245703409979551,1.639512366855438,-9.292345088702235E-4,2.3318896450988547,-1.636227244489053,-3.284241145781701,0.6201289420082767,0.26452420922149583,3.8875862203456126,-0.6640849470566123,-0.5029399297240251,-0.006215741290518415,2.0790813141567743,-0.21138604689027393,-2.9484391521059528,0.14092399633397681,1.0179855566366744,2.475485008150635,-1.3690512273494482,0.1109478763461089,-2.959126384339263,1.5266911487166108,0.03963380197121858
0,0.2,-0.6,2.7978235644447014,0.013837088393502108,-0.7157847266400034,1.8884690229975558,0.13846437913428045,-0.255852517633882,0.002330492921547713,0.06154427050000166,1.634458067274936,-2.097834312190817E-4,2.3333450880205238,-1.870314642695513,-3.657905553794063,0.9298170862558345,0.4001237564328692,4.299959103434355,-1.0044015811892963,-0.7608118285369317,-0.004852840600247882,2.081339339904869,-0.27268562111991773,-3.04016532755732,0.21366090374238908,1.52508277266422,3.3942418256354325,-2.1228934999542055,0.12838361940119036,-4.00570466217848,2.3834115028469465,0.1103163580102282
0,0.2769230769230768,-0.6,2.805982633432578,0.013873759576149182,-0.716348960879345,1.963645938652953,0.13840538971895358,-0.25896843045289625,0.0014520921500623429,0.06198884046914239,1.6389928751009908,-0.0024528547804579114,2.329368923263789,-1.5629628626097014,-3.1745000379390262,0.9280599043445772,0.39769295379429725,3.765961934901941,-1.0020759726916177,-0.7493503824010047,-0.009037016825730588,2.074867766141679,-0.190194563431607,-2.929134097733009,0.2115642549158403,1.5333451391450046,2.207601144966296,-2.0983745863761514,0.18237862648206685,-2.655934478640433,2.3513400567331195,0.038929287123566726
0,0.24735409544264322,-0.549680743584256,2.561851505639535,0.014300189542028387,-0.7161878306063958,1.8449779653654266,0.14153255357446917,-0.25843027830203796,-9.674762189883537E-5,0.058646579755948884,1.6364776067838362,0.0013230492118789102,2.13096592699642,-1.679307974524073,-3.220342561922997,0.9248402104433265,0.4026449095142724,3.713116843772149,-1.001769561752416,-0.7596873305170745,-0.005287637170462148,2.0266077684764214,-0.2208857836922677,-2.44219387473422,0.2069674882631691,1.5290053659892278,2.7250448755313137,-2.1326852218550734,0.145673036954228,-3.156821009324197,2.391532860703058,0.08910035416409513
0.10856695143289544,0.20000000000000004,-0.5485632184470488,2.5513446771537147,0.003251520190835281,-0.1970739402981221,1.7965308468060366,0.037848533641628705,-0.0680988606912787,9.588126883478807E-4,0.059624861978975464,1.6371555327993048,0.0017199472475773765,2.1292274856311795,-1.8739861103464979,-3.5043658100857193,0.2540199178474864,0.10397510796041677,4.018334371499423,-0.27202358650808994,-0.20334764501277472,-0.0024080654936094745,2.028879107945293,-0.27644792248106814,-2.4834012904004,0.05495331838416385,0.40770501447741364,3.392898596842618,-0.5666794534645359,0.03711017109336256,-3.899574766218348,0.6314962811894184,0.023679216282851887
0.14684769881711277,0.23413200335113946,-0.5632884892722697,2.625349612013887,-4.6250079888117055E-4,-0.01494124180966997,1.855642553997728,0.0024337196843433207,-0.005389550279458951,0.0010260129685486683,0.060662340813606205,1.6394029090796713,0.0016178627594917513,2.187409496262636,-1.7378568955494156,-3.335345134926137,0.019435059257309303,0.007985287084808723,3.8659757511990156,-0.02005359005287399,-0.01571460037168252,-0.0014221230714234372,2.043260060692881,-0.2399492578939632,-2.5909275156422633,0.0035649734135705232,0.03142396149855028,2.880659591286672,-0.04300375856163999,0.0027978848203814716,-3.3501361933246026,0.04766541610867071,0.0021789869380145397
0.15,0.2,-0.5999999999999999,2.797294352743371,-8.020269436122973E-4,1.0973437442435166E-4,1.886648561739307,-4.618623013723561E-4,-1.1934417612066493E-4,0.0010713359055229308,0.06269948937415992,1.6377440650409738,0.0017618523308633928,2.3349474407065887,-1.875015652338526,-3.644966478382011,1.3437447041503842E-4,-1.5277264106764238E-4,4.280734448298755,6.033569745590898E-4,-5.8167609507937124E-8,-0.0014943665729525678,2.0832944479275173,-0.27648815726114107,-3.0160525760944403,-8.481287638566457E-4,2.831786922426345E-4,3.335135873234593,-5.523155810009435E-4,1.4847184610771576E-5,-3.922890988532533,3.9450278655917215E-4,1.7724304031292736E-4
0.18593781932054057,0.2,-0.5325715250075873,2.4745734213450836,-0.004243847038363153,0.17108916307386293,1.7670938421242928,-0.03404055185883014,0.058592517196948496,0.001141438133785795,0.058883757699941364,1.6370476056600045,0.0014192335296144517,2.065157770626656,-1.873393880869539,-3.4563380771886236,-0.2192647497471207,-0.08961013632015705,3.9317589939449626,0.23636119005161169,0.17526847971781495,-4.1085293278702505E-4,2.0115408286201775,-0.27705988517870506,-2.310032360611317,-0.04787352380567715,-0.3514273967778513,3.4033941809802357,0.4915063285797699,-0.03350052714885689,-3.880129883138068,-0.5474773891014272,-0.01781892466800922
0.22500000000000003,0.2,-0.6000000000000001,2.797535325251557,-0.007769118700236873,0.35740629747768654,1.8874986272122263,-0.06784946201507941,0.12458451081677521,1.8877194669896893E-4,0.062350335864277864,1.636951078901689,0.003214769298043311,2.3348244076321287,-1.8734671008456236,-3.650726832841073,-0.46372942667860256,-0.19375823356943983,4.289210800982148,0.49794040933986056,0.3743510285172981,0.001189660817428108,2.0828475791587704,-0.2755117607453647,-3.026722534254685,-0.10923092674770439,-0.7478523049420576,3.3606098084476703,1.0229625970042464,-0.05952277710009191,-3.95853270339109,-1.1436833723045459,-0.05591113196265928
0.12545419404711633,0.2,-0.4928243128397882,2.283299101320939,0.001810794965477532,-0.11651007735651259,1.6913423547805226,0.02335765680531607,-0.03953935917412589,5.090007368832322E-4,0.05793394707118064,1.6360527221256633,0.00219083135479918,1.9042421039557667,-1.8717245529769109,-3.3292780498974612,0.1475263653159635,0.05920393610493147,3.707482073143611,-0.1574241658319901,-0.11787464507338681,-0.0016192114187444883,1.9674493668227984,-0.2790886130328766,-1.8720475633632756,0.029425028687663595,0.23584198202266157,3.420887666472574,-0.33425172765519934,0.02393980369238447,-3.8161698670827753,0.369546491796294,0.009917824396569045
0.11671950191204249,0.27245224613914204,-0.6,2.804953264513217,0.0022401802421221275,-0.1586039852585087,1.957565352467133,0.02911260643336837,-0.05629965897980614,0.0012273698872208247,0.06312723461261946,1.6418317607420658,6.558752781275703E-4,2.331152202803054,-1.5855231438811535,-3.1946947230723755,0.2038016175667026,0.08534146621640291,3.7866875603902965,-0.21593892046293062,-0.16354288375256396,-0.0032310737663778792,2.077222451388704,-0.19944488947849845,-2.9148992012235277,0.0452459281774975,0.33255250987345786,2.24493393465868,-0.43512736297725657,0.04038223635403745,-2.690319500198989,0.4822225323363707,0.007104256320988654
0.19060469983746237,0.26053754416412783,-0.6,2.8036760523560345,-0.004537600693555508,0.19356946953474716,1.9456990786789878,-0.036693722108012354,0.06823830063529558,8.904011561930656E-4,0.06295505186127846,1.6410489926198213,0.002743578095660636,2.3323511277226023,-1.6327233976585982,-3.270462522026468,-0.24883253561679744,-0.10489264460526317,3.8712830073342688,0.2657865156918681,0.20062448899052113,7.219245263191699E-4,2.0789702322029724,-0.21207059403210102,-2.933663701792086,-0.057464728701076224,-0.4054513326331622,2.4374575296508327,0.5351041614334998,-0.04548944376423202,-2.9106116338539256,-0.5944693496862136,-0.013455873810008354
0.18241498483697935,0.25031052324582265,-0.5404646505484978,2.517703881650762,-0.003842453410174754,0.1544152710216985,1.8308713545289046,-0.030311837210828342,0.05390419212362296,0.001297840553496763,0.05944040351260548,1.639638571081932,0.0015957669268010588,2.0951833232367316,-1.6715010252061906,-3.1715238086252286,-0.19799562546567834,-0.08307014809418066,3.6390083859882156,0.2130925688341098,0.1598751461659793,-2.2521340880369845E-4,2.017877326567555,-0.22162926463997282,-2.32536773187678,-0.043970606407541774,-0.32007257389654264,2.661880978926951,0.43664946030757623,-0.03260719698504377,-3.0633581893427735,-0.4859754830106459,-0.014788509872747265
0.24726565719053156,0.25134977405607445,-0.6,2.8030252449201813,-0.010010830060780141,0.46402307308625185,1.9377649121128295,-0.08878688493058218,0.16522676865468383,5.61254888027853E-4,0.06235995769821048,1.6394416435370258,0.004043024533021576,2.3328672639111754,-1.6674731573999029,-3.3332153654949175,-0.5989607388943431,-0.25560775364740346,3.941845671152763,0.6430103472537104,0.4862176631330088,0.0030184324120864007,2.079732437675037,-0.22056292850943984,-2.958973951767983,-0.13807368390486013,-0.9813737688896412,2.5980424091029493,1.3228348488034807,-0.10254318473326711,-3.0983949655995575,-1.4763134247957512,-0.043778730037170595
0.25327410799916994,0.20000000000000004,-0.5489361945463684,2.553199506601442,-0.010927362051870141,0.49231624613171304,1.797065654369742,-0.0971644104452445,0.17259622301730446,0.0011200736439521118,0.05903727040874341,1.6359983961315654,0.0014886414936047835,2.1305986551538143,-1.8715575802987374,-3.5095758736428526,-0.6346040412260698,-0.2669806261317111,4.027408893252902,0.6855286384606755,0.5139297994131286,8.390299406304988E-4,2.0284646179157275,-0.27495223768533805,-2.4958302898542266,-0.14118651899980425,-1.0312801018693973,3.424320631971872,1.4428512607272155,-0.09223490772346589,-3.941939383526979,-1.613814848263483,-0.06343694999287731
